################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
       156       3120   6.37855286E+01   4.55119565E-01   1.25411331E-16   1.45660289E-02   8.93365374E-07   1.12067347E+00
       157       3140   6.37521531E+01   4.54832252E-01   1.25477428E-16   2.02367733E-02   8.93365374E-07   1.12067347E+00
       158       3160   6.36833879E+01   4.54221879E-01   1.25620497E-16   4.38543205E-02   8.93365374E-07   1.12067347E+00
       159       3180   6.36473377E+01   4.53880599E-01   1.25695474E-16   1.36265597E-02   8.93365374E-07   1.12067347E+00
       160       3200   6.36308941E+01   4.53740969E-01   1.25731599E-16   1.12911380E-02   8.93365374E-07   1.12067347E+00
       161       3220   6.35952175E+01   4.53450141E-01   1.25812524E-16   2.68367436E-02   8.93365374E-07   1.12067347E+00
       162       3240   6.35727130E+01   4.53253077E-01   1.25866913E-16   9.65609124E-03   8.93365374E-07   1.12067347E+00
       163       3260   6.35553378E+01   4.53080386E-01   1.25895935E-16   4.77317804E-02   8.93365374E-07   1.12067347E+00
       164       3280   6.35367043E+01   4.52808574E-01   1.25931371E-16   1.80505560E-02   8.93365374E-07   1.12067347E+00
       165       3300   6.34890450E+01   4.52254895E-01   1.26019301E-16   2.27571149E-02   8.93365374E-07   1.12067347E+00
       166       3320   6.34582735E+01   4.51817814E-01   1.26091224E-16   3.38839001E-02   8.93365374E-07   1.12067347E+00
       167       3340   6.34437775E+01   4.51650210E-01   1.26113100E-16   3.15889425E-02   8.93365374E-07   1.12067347E+00
       168       3360   6.33854780E+01   4.51744487E-01   1.26224723E-16   3.05815683E-02   8.93365374E-07   1.12067347E+00
       169       3380   6.33725686E+01   4.51614993E-01   1.26254259E-16   8.06269285E-03   8.93365374E-07   1.12067347E+00
       170       3400   6.33234236E+01   4.51527026E-01   1.26354642E-16   7.40600939E-03   8.93365374E-07   1.12067347E+00
       171       3420   6.32701676E+01   4.51296993E-01   1.26456677E-16   9.95887201E-03   8.93365374E-07   1.12067347E+00
       172       3440   6.32587230E+01   4.51109183E-01   1.26482767E-16   2.56517977E-02   8.93365374E-07   1.12067347E+00
       173       3460   6.32498276E+01   4.50989271E-01   1.26501227E-16   7.53467988E-03   8.93365374E-07   1.12067347E+00
       174       3480   6.32422751E+01   4.50903024E-01   1.26514715E-16   2.17519222E-02   8.93365374E-07   1.12067347E+00
       175       3500   6.32362264E+01   4.50845134E-01   1.26528100E-16   1.23986247E-02   8.93365374E-07   1.12067347E+00
       176       3520   6.32258202E+01   4.50748474E-01   1.26545519E-16   6.13396305E-03   8.93365374E-07   1.12067347E+00
       177       3540   6.32214342E+01   4.50717644E-01   1.26557408E-16   8.88618609E-03   8.93365374E-07   1.12067347E+00
       178       3560   6.31716584E+01   4.50781323E-01   1.26680676E-16   1.87732677E-02   8.93365374E-07   1.12067347E+00
       179       3580   6.31428765E+01   4.50215962E-01   1.26725441E-16   3.70824466E-02   8.93365374E-07   1.12067347E+00
       180       3600   6.31236925E+01   4.49938301E-01   1.26761137E-16   1.16813764E-02   8.93365374E-07   1.12067347E+00
       181       3620   6.30710345E+01   4.49762919E-01   1.26865001E-16   1.67920461E-02   8.93365374E-07   1.12067347E+00
       182       3640   6.30534051E+01   4.49492661E-01   1.26911005E-16   4.02389940E-02   8.93365374E-07   1.12067347E+00
       183       3660   6.30355288E+01   4.49254312E-01   1.26952871E-16   1.35947460E-02   8.93365374E-07   1.12067347E+00
       184       3680   6.30252820E+01   4.49160065E-01   1.26975185E-16   8.02565514E-03   8.93365374E-07   1.12067347E+00
       185       3700   6.30105983E+01   4.49065521E-01   1.27012268E-16   4.78844133E-02   8.93365374E-07   1.12067347E+00
       186       3720   6.29818682E+01   4.48785367E-01   1.27074668E-16   2.76376476E-02   8.93365374E-07   1.12067347E+00
       187       3740   6.29656458E+01   4.48625632E-01   1.27098101E-16   1.15902153E-02   8.93365374E-07   1.12067347E+00
       188       3760   6.29376583E+01   4.48423155E-01   1.27150050E-16   1.64470408E-02   8.93365374E-07   1.12067347E+00
       189       3780   6.28923356E+01   4.48305739E-01   1.27254119E-16   2.23759393E-02   8.93365374E-07   1.12067347E+00
       190       3800   6.28840428E+01   4.48201496E-01   1.27281750E-16   7.78827752E-03   8.93365374E-07   1.12067347E+00
       191       3820   6.28652849E+01   4.47968154E-01   1.27309806E-16   6.72839581E-03   8.93365374E-07   1.12067347E+00
       192       3840   6.28178432E+01   4.47835949E-01   1.27389493E-16   1.24709659E-02   8.93365374E-07   1.12067347E+00
       193       3860   6.27949259E+01   4.47473520E-01   1.27420449E-16   1.57164253E-02   8.93365374E-07   1.12067347E+00
       194       3880   6.27851651E+01   4.47348702E-01   1.27439821E-16   1.30738578E-02   8.93365374E-07   1.12067347E+00
       195       3900   6.27530986E+01   4.47144801E-01   1.27491645E-16   1.62801687E-02   8.93365374E-07   1.12067347E+00
       196       3920   6.27464457E+01   4.47080206E-01   1.27506307E-16   1.51213849E-02   8.93365374E-07   1.12067347E+00
       197       3940   6.27407003E+01   4.47027880E-01   1.27515615E-16   6.63732943E-03   8.93365374E-07   1.12067347E+00
       198       3960   6.27232455E+01   4.46855521E-01   1.27554060E-16   6.59490887E-03   8.93365374E-07   1.12067347E+00
       199       3980   6.26954314E+01   4.46624207E-01   1.27627860E-16   7.90928495E-03   8.93365374E-07   1.12067347E+00
       200       4000   6.26891314E+01   4.46540337E-01   1.27643513E-16   1.37959620E-02   8.93365374E-07   1.12067347E+00
       201       4020   6.26569927E+01   4.46227010E-01   1.27711378E-16   5.42325757E-02   8.93365374E-07   1.12067347E+00
       202       4040   6.26519674E+01   4.46168250E-01   1.27722566E-16   1.00767026E-02   8.93365374E-07   1.12067347E+00
       203       4060   6.26373405E+01   4.45958940E-01   1.27750151E-16   6.22122659E-03   8.93365374E-07   1.12067347E+00
       204       4080   6.26174900E+01   4.45801143E-01   1.27788082E-16   5.68221889E-03   8.93365374E-07   1.12067347E+00
       205       4100   6.26136227E+01   4.45760574E-01   1.27793534E-16   5.30277400E-03   8.93365374E-07   1.12067347E+00
       206       4120   6.25871006E+01   4.45475265E-01   1.27839334E-16   5.06913150E-03   8.93365374E-07   1.12067347E+00
       207       4140   6.25838059E+01   4.45441641E-01   1.27845587E-16   1.06988650E-02   8.93365374E-07   1.12067347E+00
       208       4160   6.25789651E+01   4.45405406E-01   1.27856996E-16   1.41976847E-02   8.93365374E-07   1.12067347E+00
