################################################################################
# Force comparison.
################################################################################
# Col  Name    Description
################################################################################
# 1    index_s Structure index.
# 2    index_a Atom index (x, y, z components in consecutive lines).
# 3    Fref    Reference force (training units).
# 4    Fnnp    NNP force (training units).
################################################################################
#        1          2                3                4
#  index_s    index_a             Fref             Fnnp
#######################################################
         0        102  -6.60234618E-01  -8.39741408E-03
         0        102   4.55825341E-01   2.72131554E-02
         0        103  -3.33102968E-01   4.16660520E-02
         0        103  -1.53783651E-01   1.87229156E-02
         0        103   2.50156612E-01  -3.60708383E-02
         0        104   4.63310287E-01  -2.09240023E-02
         0        104   1.07175882E+00  -2.43093356E-02
         0        104  -6.84865051E-01   9.96132937E-03
         0        105  -3.61152980E-01  -2.95238113E-02
         0        105   8.53042066E-01  -3.51305759E-03
         0        105  -6.40659624E-01   2.99189752E-05
         0        106  -5.49409868E-02  -3.47234358E-02
         0        106  -2.06872930E-01  -2.52537374E-02
         0        106   1.39724632E-01  -1.69977636E-02
         0        107   5.87376015E-01   6.32602728E-02
         0        107  -3.81411718E-01   6.06237702E-03
         0        107   6.57082926E-01   2.79202802E-02
         0        108   1.26456833E-01  -5.01223976E-02
         0        108   8.64328230E-01  -3.72656946E-04
         0        108   9.73087777E-01  -8.13206173E-03
         0        109  -2.58783261E-01   5.38518324E-02
         0        109  -5.51491770E-02   1.73820484E-02
         0        109   1.78633743E-02   6.06159682E-02
         0        110  -2.11630746E-02  -6.96507555E-03
         0        110  -7.80673399E-01  -1.84225951E-02
         0        110  -1.10466318E+00  -6.68271845E-02
         0        111   2.00838964E-01   1.79739695E-03
         0        111  -1.31962161E-01  -4.37889271E-03
         0        111   1.01198964E+00   1.28950342E-02
         0        112   2.64463644E-01   3.55215005E-02
         0        112   9.98935411E-01   9.34055363E-02
         0        112  -4.58446863E-01  -2.10341613E-02
         0        113  -3.85993770E-01  -1.83026054E-02
         0        113  -7.45613285E-01  -8.39336386E-02
         0        113  -3.78663144E-01   2.11875899E-02
         0        114   8.49807666E-01   6.87821251E-03
         0        114  -8.80069506E-02  -2.06011902E-03
         0        114  -3.66703211E-01   7.71689461E-03
         0        115  -4.30134121E-01   4.32809714E-03
         0        115   1.19183177E-02   4.23457433E-02
         0        115   5.24308999E-02  -4.55816713E-02
         0        116  -5.76761604E-01  -2.14676403E-02
         0        116   1.34932186E-01  -2.71469617E-02
         0        116   2.57503375E-01   4.50890444E-02
         0        117   1.00756535E+00   2.15000676E-03
         0        117   4.36800465E-01  -7.25195020E-02
         0        117  -3.49736889E-01   5.42126093E-02
         0        118  -8.55576921E-01   4.69191111E-02
         0        118  -4.20942597E-01   2.71428138E-02
         0        118   2.40774195E-01  -4.44688477E-02
         0        119  -1.64262718E-01  -5.96241233E-02
         0        119   9.68927074E-02   9.25814242E-03
         0        119  -7.31952640E-02   1.01129284E-02
         0        120  -1.29087993E-01  -1.84773437E-02
         0        120  -6.91764054E-02  -1.63271247E-02
         0        120   8.50557681E-01  -2.40051123E-03
         0        121   4.98621515E-01  -3.27852366E-04
         0        121  -4.37377181E-01   5.17289831E-02
         0        121  -1.74323874E-02  -3.46908732E-02
         0        122  -1.98641704E-01   5.66094329E-02
