################################################################################
# Kalman filter status report.
################################################################################
# Col  Name     Description
################################################################################
# 1    epoch    Training epoch.
# 2    nupdates Number of updates performed.
# 3    Pdiag    Mean of absolute diagonal values of error covariance matrix P.
# 4    Poffdiag Mean of absolute off-diagonal values of error covariance matrix P.
# 5    Pasym    Asymmetry of P, i.e. mean of absolute values of asymmetric part 0.5*(P - P^T).
# 6    Kmean    Mean of abolute compontents of Kalman gain matrix K.
# 7    q        Magnitude of process noise (= diagonal entries of Q).
# 8    eta      Learning rate.
###########################################################################################################################
#        1          2                3                4                5                6                7                8
#    epoch   nupdates            Pdiag         Poffdiag            Pasym            Kmean                q              eta
###########################################################################################################################
       112        112   1.00239607E+02   5.09468472E-04   1.27214932E-20   1.35076920E-03   1.08539298E-04   9.21325287E-02
       113        113   1.00239339E+02   5.30389847E-04   1.28971650E-20   1.43087177E-03   1.04243169E-04   9.59295469E-02
       114        114   1.00239075E+02   5.51348991E-04   1.34624928E-20   1.46104445E-03   1.00117087E-04   9.98830498E-02
       115        115   1.00239084E+02   5.56017367E-04   1.35798764E-20   8.54994413E-04   9.61543206E-05   1.03999487E-01
       116        116   1.00238871E+02   5.57199739E-04   1.41363277E-20   1.74646237E-03   9.23484056E-05   1.08285573E-01
       117        117   1.00238572E+02   5.79058446E-04   1.46269717E-20   1.59120482E-03   8.86931338E-05   1.12748299E-01
       118        118   1.00238246E+02   6.03054244E-04   1.53528362E-20   1.69656112E-03   8.51825425E-05   1.17394946E-01
       119        119   1.00237928E+02   6.27111266E-04   1.58255186E-20   1.73123320E-03   8.18109050E-05   1.22233094E-01
       120        120   1.00237600E+02   6.50626805E-04   1.64334965E-20   1.74691290E-03   7.85727213E-05   1.27270633E-01
       121        121   1.00237241E+02   6.76470659E-04   1.69815731E-20   1.86776520E-03   7.54627093E-05   1.32515783E-01
       122        122   1.00236872E+02   7.02904402E-04   1.78478723E-20   1.92729814E-03   7.24757956E-05   1.37977099E-01
       123        123   1.00236511E+02   7.29325493E-04   1.80016474E-20   1.96582117E-03   6.96071079E-05   1.43663489E-01
       124        124   1.00236136E+02   7.58096012E-04   1.85334754E-20   2.09216968E-03   6.68519667E-05   1.49584231E-01
       125        125   1.00235737E+02   7.86320208E-04   1.90255675E-20   2.11531645E-03   6.42058776E-05   1.55748981E-01
       126        126   1.00235347E+02   8.14613057E-04   1.97224381E-20   2.16074323E-03   6.16645242E-05   1.62167796E-01
       127        127   1.00234952E+02   8.42046631E-04   2.03574195E-20   2.17189766E-03   5.92237609E-05   1.68851148E-01
       128        128   1.00234592E+02   8.78889434E-04   2.11089766E-20   2.56106646E-03   5.68796063E-05   1.75809937E-01
       129        129   1.00234176E+02   9.09727617E-04   2.23495568E-20   2.39558585E-03   5.46282363E-05   1.83055516E-01
       130        130   1.00233744E+02   9.40660356E-04   2.27376565E-20   2.44847552E-03   5.24659786E-05   1.90599704E-01
       131        131   1.00233403E+02   9.41696330E-04   2.35828592E-20   2.74450575E-03   5.03893059E-05   1.98454807E-01
       132        132   1.00232972E+02   9.73683385E-04   2.49628836E-20   2.59194293E-03   4.83948307E-05   2.06633640E-01
       133        133   1.00232536E+02   1.00610570E-03   2.52864651E-20   2.66257054E-03   4.64792994E-05   2.15149543E-01
       134        134   1.00232114E+02   1.04821517E-03   2.62672047E-20   3.08934602E-03   4.46395873E-05   2.24016408E-01
       135        135   1.00231638E+02   1.08257430E-03   2.74119182E-20   2.85360822E-03   4.28726935E-05   2.33248699E-01
       136        136   1.00231508E+02   1.09585367E-03   2.77360928E-20   1.96006466E-03   4.11757357E-05   2.42861477E-01
       137        137   1.00230999E+02   1.13967573E-03   2.84178039E-20   3.34966666E-03   3.95459457E-05   2.52870422E-01
       138        138   1.00230493E+02   1.17875994E-03   2.87241580E-20   3.23106827E-03   3.79806650E-05   2.63291862E-01
       139        139   1.00229998E+02   1.22681735E-03   2.99292541E-20   3.64947313E-03   3.64773401E-05   2.74142796E-01
       140        140   1.00229490E+02   1.26484727E-03   3.05979842E-20   3.31943050E-03   3.50335188E-05   2.85440924E-01
       141        141   1.00228986E+02   1.29874216E-03   3.10348066E-20   3.20071190E-03   3.36468459E-05   2.97204678E-01
       142        142   1.00228468E+02   1.33799996E-03   3.19186783E-20   3.50694914E-03   3.23150593E-05   3.09453246E-01
       143        143   1.00227943E+02   1.37819012E-03   3.28144929E-20   3.61719307E-03   3.10359866E-05   3.22206609E-01
       144        144   1.00227460E+02   1.40445906E-03   3.30971805E-20   2.99738785E-03   2.98075413E-05   3.35485571E-01
       145        145   1.00226888E+02   1.45887926E-03   3.41716689E-20   4.37474641E-03   2.86277194E-05   3.49311793E-01
       146        146   1.00226322E+02   1.50159685E-03   3.51312719E-20   3.96084488E-03   2.74945965E-05   3.63707829E-01
       147        147   1.00225771E+02   1.54457022E-03   3.57658885E-20   4.05317645E-03   2.64063241E-05   3.78697162E-01
       148        148   1.00225230E+02   1.58535929E-03   3.69105917E-20   4.03260376E-03   2.53611269E-05   3.94304245E-01
       149        149   1.00224656E+02   1.62974014E-03   3.69013210E-20   4.28793400E-03   2.43573000E-05   4.10554536E-01
       150        150   1.00224098E+02   1.67441066E-03   3.78822714E-20   4.38907585E-03   2.33932059E-05   4.27474542E-01
       151        151   1.00223520E+02   1.71986573E-03   3.89466390E-20   4.51737579E-03   2.24672719E-05   4.45091866E-01
       152        152   1.00222944E+02   1.76880977E-03   3.99592159E-20   4.78114853E-03   2.15779877E-05   4.63435245E-01
       153        153   1.00222365E+02   1.81829691E-03   4.15474962E-20   4.90523219E-03   2.07239024E-05   4.82534602E-01
       154        154   1.00221448E+02   1.89276474E-03   4.32172723E-20   6.34449648E-03   1.99036230E-05   5.02421092E-01
       155        155   1.00220903E+02   1.93773375E-03   4.45304656E-20   4.87030652E-03   1.91158113E-05   5.23127155E-01
       156        156   1.00220369E+02   1.98053221E-03   4.55621315E-20   4.85025208E-03   1.83591823E-05   5.44686569E-01
       157        157   1.00219822E+02   2.02645010E-03   4.63174411E-20   5.12328708E-03   1.76325016E-05   5.67134501E-01
       158        158   1.00219027E+02   2.09026341E-03   4.74939007E-20   6.15947342E-03   1.69345839E-05   5.90507571E-01
       159        159   1.00218398E+02   2.14848620E-03   4.88712617E-20   5.99980908E-03   1.62642907E-05   6.14843904E-01
       160        160   1.00217968E+02   2.17683785E-03   4.96502992E-20   4.29395829E-03   1.56205286E-05   6.40183200E-01
       161        161   1.00217411E+02   2.22174877E-03   5.08074630E-20   5.49404524E-03   1.50022475E-05   6.66566794E-01
       162        162   1.00217050E+02   2.23341931E-03   5.17712744E-20   3.78753912E-03   1.44084387E-05   6.94037724E-01
       163        163   1.00216783E+02   2.25283224E-03   5.21654305E-20   3.81732862E-03   1.38381337E-05   7.22640801E-01
       164        164   1.00216174E+02   2.30517542E-03   5.33201064E-20   6.29644226E-03   1.32904021E-05   7.52422684E-01
       165        165   1.00215565E+02   2.35795038E-03   5.46406554E-20   6.45079965E-03   1.27643504E-05   7.83431955E-01
       166        166   1.00214978E+02   2.40695864E-03   5.45087325E-20   6.34571617E-03   1.22591206E-05   8.15719198E-01
       167        167   1.00214333E+02   2.46549427E-03   5.54606964E-20   7.07062538E-03   1.17738884E-05   8.49337081E-01
       168        168   1.00213694E+02   2.47139930E-03   5.72960089E-20   7.73318136E-03   1.13078623E-05   8.84340443E-01
       169        169   1.00213103E+02   2.52605559E-03   5.85864362E-20   7.11538394E-03   1.08602822E-05   9.20786384E-01
