################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2         30        688   4.22311922E-03   1.88461532E-02   1.06137596E-02   2.29752158E-03
         2         31        688  -6.34790140E-01  -3.62115489E-01  -5.11837431E-01   4.04274602E-02
         2         32        688   2.19155821E-01   4.32172488E-01   3.19097710E-01   3.30864130E-02
         2         33        688   7.38338975E-01   1.35159272E+00   1.10358216E+00   9.16178362E-02
         2         34        688  -1.22950485E-01   4.44302916E-02  -3.14564233E-02   2.93925530E-02
         2         35        688   6.91408624E-01   1.15523566E+00   9.51884190E-01   6.86976753E-02
         2         36        688  -4.41431844E-01  -2.19855192E-01  -3.46981483E-01   3.33261618E-02
         2         37        688   2.06724195E-01   3.54877879E-01   2.64595212E-01   1.94877988E-02
         2         38        688  -3.16123482E-01  -1.43463699E-01  -2.47263580E-01   2.48193419E-02
         2         39        688   1.12235061E-01   2.39182002E-01   1.79192151E-01   1.97846831E-02
         2         40        688  -1.46325607E-01  -1.77304755E-02  -8.26907312E-02   2.25640452E-02
         2         41        688  -1.96043945E+00  -1.25827070E+00  -1.69786384E+00   1.00299937E-01
         2         42        688   1.69216422E-01   3.95875272E-01   3.04006093E-01   3.27540020E-02
         2         43        688  -1.58006228E+00  -1.11822837E+00  -1.38215499E+00   6.92461104E-02
         2         44        688   4.62688037E-01   8.47578748E-01   6.95017888E-01   5.39882642E-02
         2         45        688   5.90608268E-01   1.10513578E+00   9.26678950E-01   7.44728354E-02
         2         46        688   4.01491645E-01   5.89051984E-01   4.84997152E-01   2.43363132E-02
         2         47        688  -3.33515360E-01  -2.34470938E-01  -2.72547587E-01   1.37477718E-02
         2         48        688   8.31026310E-01   1.36182616E+00   1.16480430E+00   7.90425618E-02
         2         49        688  -5.20958043E-02   5.06646787E-02  -1.95458908E-03   1.54797389E-02
         2         50        688  -1.64738535E+00  -8.57688035E-01  -1.37253670E+00   1.15334925E-01
         2         51        688   1.51344449E-01   4.41600745E-01   3.16538046E-01   4.36974170E-02
         2         52        688  -6.41531956E-01  -2.82606887E-01  -4.74738116E-01   6.10198698E-02
         2         53        688   5.33369187E-01   8.25123438E-01   6.74190972E-01   4.98135194E-02
         2         54        688   1.10650751E-01   3.44018809E-01   2.08376460E-01   3.70969163E-02
         2         55        688   2.05073298E-01   4.64236254E-01   3.45151462E-01   4.26994945E-02
         2         56        688  -5.19345273E-03   2.11309839E-01   1.19964710E-01   3.80738458E-02
         2         57        688  -1.17412136E-01   1.11355877E-02  -5.73440481E-02   1.81914189E-02
         2         58        688   7.14451951E-01   9.10819887E-01   8.40649605E-01   2.69598077E-02
         2         59        688   3.08009438E-01   4.38348307E-01   4.00476972E-01   1.62519327E-02
         2         60        688  -3.36300417E-01  -2.43793895E-01  -2.93849121E-01   1.38354328E-02
         2         61        688   2.10083356E-01   3.94915211E-01   3.26670062E-01   2.79978515E-02
         2         62        688   6.08371595E-01   8.31628185E-01   7.26016910E-01   3.79103003E-02
         2         63        688  -9.96297571E-02   6.83863418E-02  -1.31374634E-02   2.64008376E-02
         2         64        688  -2.28062858E-01   7.48814098E-03  -1.09578891E-01   3.56866956E-02
